Time,CPU(%),RAM(%),GPU0_Util(%),GPU0_Mem(MB),GPU1_Util(%),GPU1_Mem(MB),GPU2_Util(%),GPU2_Mem(MB),GPU3_Util(%),GPU3_Mem(MB),GPU4_Util(%),GPU4_Mem(MB),GPU5_Util(%),GPU5_Mem(MB),GPU6_Util(%),GPU6_Mem(MB),GPU7_Util(%),GPU7_Mem(MB)
[2025-06-28 22:24:04],4.6,11.6,81,76796,76,72366,77,72366,77,72366,78,72366,79,72366,77,72366,78,71886
[2025-06-28 22:24:07],4.7,11.6,82,76796,77,72366,78,72366,78,72366,79,72366,76,72366,77,72366,77,71886
[2025-06-28 22:24:10],4.9,11.6,82,76796,77,72366,78,72366,79,72366,79,72366,79,72366,77,72366,77,71886
[2025-06-28 22:24:13],4.6,11.6,83,76796,79,72366,77,72366,77,72366,78,72366,77,72366,77,72366,78,71886
[2025-06-28 22:24:16],4.7,11.6,82,76796,78,72366,79,72366,79,72366,78,72366,76,72366,78,72366,80,71886
[2025-06-28 22:24:19],4.7,11.6,82,76796,77,72366,78,72366,78,72366,79,72366,77,72366,78,72366,76,71886
[2025-06-28 22:24:22],5.2,11.6,82,76796,77,72366,79,72366,79,72366,80,72366,77,72366,77,72366,78,71886
[2025-06-28 22:24:24],4.7,11.6,83,76796,78,72366,79,72366,78,72366,79,72366,78,72366,76,72366,80,71886
[2025-06-28 22:24:27],4.7,11.6,83,76796,78,72366,78,72366,76,72366,79,72366,78,72366,71,72366,78,71886
[2025-06-28 22:24:30],4.9,11.6,81,76796,79,72366,77,72366,78,72366,78,72366,77,72366,78,72366,77,71886
[2025-06-28 22:24:34],4.9,11.6,83,76796,77,72366,77,72366,77,72366,79,72366,79,72366,75,72366,78,71886
[2025-06-28 22:24:37],5.4,11.6,82,76796,76,72366,77,72366,77,72366,77,72366,78,72366,76,72366,80,71886
[2025-06-28 22:24:38],5.0,11.6,82,76796,78,72366,77,72366,78,72366,79,72366,79,72366,77,72366,77,71886
[2025-06-28 22:24:41],4.6,11.6,84,76796,78,72366,79,72366,79,72366,78,72366,78,72366,79,72366,79,71886
[2025-06-28 22:24:44],4.7,11.6,83,76796,78,72366,79,72366,77,72366,78,72366,77,72366,78,72366,78,71886
